,Users,Date,Review_content
285,subsChallengeWithVideo-yh6cl,11 months ago,"1st time ~ Not Bad..
2nd time ~ Sema ya..
3rd time ~ Vera Level..
4th time ~ Addicted uh..
Pathala..Pathala.."
286,mandar2681,1 year ago,"Iam maharashtrian however, love this song,Love from maharashtra"
287,elankathirs9429,9 months ago,Pathala pathala song is vera level
288,user-kv9xb6fb8e,1 year ago,என்றும் இளமை காலத்தில் உள்ள ஆட்டம் கமல் சார் வாழ்த்துக்கள்
289,temper7941,1 year ago,I don't understand lyrics but i like dance step this unick 
290,jackwakanda8986,1 year ago,This man has literally saved the Tamil Cinema.
291,kamalnikhil3334,1 month ago,Super
292,nkedits778,11 months ago,"Ear : listening the song
Eye : watching comments
Foot : Tap tap on the floor
Hands : slide the comments
Pathala pathala
Vibe "
293,pritambose4480,10 months ago (edited),Kamal sir the legend rulling three decade in film industry my mummy papa our next-generation favourite  biggest star mega star kamal sir
294,nooffense3719,1 year ago (edited),"தலைவர் என்பர், தல என்பர், தளபதி என்பவர் அவர்கள் எல்லோருக்கும் மேலே ""ஆண்டவர்"" ஒருவர் இருக்கிறார் என்பதை அறியாதவர்.."
295,dineshmadhavan7982,1 year ago,One of the best dance in kamal
296,kannagavalli7249,1 year ago,I am addict that song
297,binilanjali8158,7 months ago,പൊളിച്ചു 
298,djnaveenkhanna2469,1 year ago,I'm biggest fan of Allu Arjun...i saw ur movie in Telugu ...ur Story plot Ozm ..andavaree ur Ozm with this character ...dashavataram begins ... don't lose it Wish u More ... Kollywood Boss Not any more in Myth
299,riyaameen8407,11 months ago,My fevorit song
300,VijayMakkalIyyakam,1 year ago,Wow Very nice  Song
301,rdxraies1520,1 year ago,Hasan sirs energy makes this song different
302,mayurkhandagale9177,1 year ago,Dance music voice choreography veraa level
303,SURESHNASCO,6 months ago,Poli song️
304,selvamarumugam576,1 year ago,1:08 vera level scene
305,THOMAS-iq8hb,3 weeks ago,80s best dancer
